stringwkstID;WkstNr;Kurzname;Bez;Typ;ASTMSpec;ASMEType;ASMEUNS;Quelle;Tmin;Tmax;TmaxAbgas;LZ;Dichte;alsBalg;alsAT;Preis_RTW;n_spring;Rp0
104;AISI 304L;X3CrNi18-11;1.4306;A;-;-;S 30403;-;-196;550;600;"0.988";7.9;1;"0";"0";"0.1";195
111;картон;-;-;-;;;;;;;;;;;;;;
112;30ХГСА;Сталь 30ХГСА;-;F;-;-;-;ГОСТ 4543-71;-30;450;450;"0";7.85;"0";1;"0";"0";"0"
113;1.4845;X8CrNi25-21;-;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
114;20Х23Н18;ГОСТ 5632;-;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
115;AISI 310S;X8CrNi25-21;_;A;A 167;310S;-;DIN EN 10095;-70;700;700;2.662;7.9;1;"0";"0";"0.1";210
116;Hastelloy B3;-;-;A;B622;UNS N10675;-;-;-30;700;700;2.662;9.22;1;"0";"0";"0.1";760
85;Ст.3;-;-;F;-;-;-;-;-30;300;300;;7.85;;1;;;
117;МБС;-;-;-;-;-;-;-;;;;;;;;;;
118;"08X17H15M3T";"08X17H15M3T";"";A;-;-;-;ГОСТ 5632-72;-253;600;700;"0";7.9;"0";1;"0";"0";"0"
119;Hastelloy С4;-;-;A;B622;UNS N06455;-;-;-253;1040;1040;2.461;8.6;1;"0";"0";"0.1";690
120;15ХМ;-;-;F;-;-;-;-;-30;420;420;"0";7.85;;1;;;
122;10ХСНД;-;-;F;-;-;-;ГОСТ 19281-2014;-30;400;400;"0.988";7.85;"0";"0";"0";"0";"0"
123;AISI 304;X3CrNi18-11;1.4306;A;-;-;S 30403;-;-196;550;600;"0.988";7.9;1;"0";"0";"0.1";195
124;AISI 904L;X1NiCrMoCu25-20-5;-;A;А 240;-;Т 08904;-;-270;550;600;3.432;8;"0";"0";"0";"0.09";219
125;"08ХН28МДТ";X1NiCrMoCu25-20-5;-;A;ГОСТ;-;N 08904;-;-270;550;600;3.432;8;"0";"0";"0";"0.09";219
126;P295GH;1.0481;-;F;A 414;-;K12320;EN 10028-2;-30;400;400;"0";7.85;"0";"0";"0";"0";234
67;"08Х17Н13М2Т";"08Х17Н13М2Т";-;A;-;-;-;-;;;;;7.9;;;;;195
61;10Х17Н13М2Т;10Х17Н13М2Т;-;A;-;-;-;ГОСТ 5632-72;-253;600;700;"0";7.9;"0";1;"0";"0";195
127;1.4462;X2CrNiMoN22-5-3;-;A;-;F51;"";EN 10028-7 ;-270;550;600;1.77;8;1;"0";"0";"0.09";445
131;AISI 316;-;-;A;-;-;-;-;-270;550;600;;7.85;1;"0";"0";"0";"0"
